"","eda","p3","ent","sex","cs_p13_1","e_con","ur","seg_soc","hrsocup","hij5c","mh_fil2","par_c","sal_sem","exp","exp2"
"1",44,"5222","9","2","2","4","1","2",36,"3","2","101",500,32,1024
"2",43,"8343","9","1","6","5","1","2",55,"0","2","101",10750,25,625
"3",27,"9722","9","1","4","1","1","2",45,"0","1","101",6450,9,81
"4",63,"5222","9","2","7","5","1","2",25,"2","2","201",5000,42,1764
"5",50,"5222","9","2","3","6","1","2",60,"2","2","423",8000,35,1225
"6",42,"5222","9","2","6","5","1","2",20,"2","2","201",4300,24,576
"7",55,"5222","9","2","4","2","1","2",45,"2","2","101",6450,37,1369
"8",61,"5113","9","2","4","6","1","2",18,"3","2","101",6450,44,1936
"9",66,"9722","9","1","7","5","1","1",50,"0","3","101",2000,46,2116
"10",55,"9722","9","1","3","5","1","2",60,"0","3","201",6020,40,1600
"11",32,"8343","9","1","3","6","1","2",40,"0","2","301",8600,18,324
"12",24,"9722","9","1","4","6","1","1",48,"0","3","301",4300,6,36
"13",52,"5222","9","2","4","6","1","2",40,"2","2","101",3440,34,1156
"14",59,"5222","9","2","3","3","1","2",10,"2","2","401",1720,44,1936
"15",32,"5222","9","2","4","5","1","2",8,"2","2","101",1720,14,196
"16",40,"8343","9","1","3","1","1","2",42,"0","2","101",6450,25,625
"17",43,"5222","9","2","3","6","1","2",45,"1","2","601",3000,28,784
"18",61,"2812","9","2","7","5","1","1",35,"2","3","101",5000,39,1521
"19",34,"5222","9","2","3","2","1","2",30,"3","2","101",1290,19,361
"20",48,"5222","9","2","4","6","1","2",88,"2","2","601",8600,30,900
"21",14,"9722","9","1","3","6","1","2",6,"0","1","408",215,1,1
"22",12,"9722","9","1","2","6","1","2",2,"0","1","301",215,0,0
"23",49,"2812","9","2","6","3","1","1",35,"2","3","101",8000,31,961
"24",34,"5222","9","2","6","5","1","2",50,"2","2","201",7525,18,324
"25",24,"5222","9","2","3","1","1","2",60,"2","1","201",1500,9,81
"26",24,"5222","9","2","4","1","1","2",30,"2","2","201",2150,7,49
"27",36,"8343","9","1","4","1","1","2",30,"0","2","201",6450,19,361
