"SEXO","EDAD","ENT","ESC","urbano","TIEMPO_TOTAL","SIT_CONYUGAL","INDIGENA","TIPO_TRABAJO","PROGRAMA_SOCIAL","SEGURO_MEDICO","PAREN","TIEMPO_CHOF","TIEMPO_COCIN","TIEMPO_ENF_TEC","TIEMPO_FISIO","TIEMPO_CUID","NUM_PER","esc_jefe","jefatura_femenina","edad_jefe","SAL_SEM"
1,88,1,6,1,0,4,0,NA,0,1,1,0,0,0,0,0,1,3,1,88,NA
1,64,1,12,1,0,4,0,NA,0,1,1,0,0,0,0,0,4,6,1,64,NA
0,30,1,15,1,0,6,0,1,0,1,3,0,0,0,0,0,4,6,1,64,2075
0,25,1,12,1,0,6,0,1,0,1,3,0,0,0,0,0,4,6,1,64,2000
1,22,1,16,1,0,6,0,1,0,1,3,0,0,0,0,0,4,6,1,64,NA
1,48,1,18,1,0,2,0,1,0,1,1,0,0,0,0,0,3,15,1,48,1500
0,26,1,22,1,0,6,0,1,0,0,3,0,0,0,0,0,3,15,1,48,2000
0,17,1,15,1,0,6,0,NA,0,1,3,0,0,0,0,0,3,15,1,48,NA
1,68,1,6,1,0,2,0,NA,0,1,1,0,0,0,0,0,4,3,1,68,NA
0,50,1,12,1,0,6,0,1,0,0,3,0,0,0,0,0,4,3,1,68,900
1,21,1,12,1,0,2,0,NA,0,1,4,0,0,0,0,0,4,3,1,68,NA
0,38,1,20,1,0,5,0,1,0,1,1,0,0,0,0,0,5,16,0,38,8354
1,38,1,20,1,0,5,0,1,0,1,2,0,0,0,0,0,5,16,0,38,8000
1,37,1,15,1,0,5,0,4,0,1,1,0,0,0,0,0,3,12,1,37,NA
0,61,1,15,1,0,5,0,4,0,1,2,0,0,0,0,0,3,12,1,37,5000
1,18,1,15,1,1,6,0,NA,0,1,3,0,0,0,0,1,3,12,1,37,NA
1,68,1,15,1,53.6666666666667,4,0,NA,0,1,1,3,0,4.66666666666667,7,39,2,12,1,68,NA
0,62,1,22,1,0,5,0,1,0,1,1,0,0,0,0,0,3,17,0,62,NA
1,60,1,12,1,0,5,0,NA,0,1,2,0,0,0,0,0,3,17,0,62,NA
1,30,1,20,1,0,6,0,4,0,0,3,0,0,0,0,0,3,17,0,62,NA
0,37,1,15,1,0,6,0,4,0,0,1,0,0,0,0,0,1,12,0,37,2500
1,29,1,12,1,0,2,0,1,0,1,1,0,0,0,0,0,2,9,1,29,NA
1,57,1,12,1,0,4,0,4,0,1,1,0,0,0,0,0,3,6,1,57,1000
0,30,1,16,1,0,6,0,1,0,0,5,0,0,0,0,0,3,6,1,57,2750
1,27,1,20,1,0,6,0,1,0,1,3,0,0,0,0,0,3,6,1,57,2400
1,26,1,20,1,0,5,0,1,0,1,2,0,0,0,0,0,3,NA,0,26,600
0,35,1,20,1,0,1,0,1,0,1,1,0,0,0,0,0,4,18,0,35,2500
1,28,1,20,1,0,1,1,1,0,1,2,0,0,0,0,0,4,18,0,35,1500
0,34,1,15,1,0,6,1,1,0,0,8,0,0,0,0,0,4,18,0,35,2000
1,68,1,12,1,0,6,0,1,0,1,1,0,0,0,0,0,4,9,1,68,600
1,63,1,12,1,0,6,0,1,0,1,7,0,0,0,0,0,4,9,1,68,1000
1,59,1,6,1,0,6,0,1,0,1,7,0,0,0,0,0,4,9,1,68,900
0,55,1,12,1,0,6,0,1,0,0,7,0,0,0,0,0,4,9,1,68,1200
0,89,1,6,1,0,4,0,NA,0,1,1,0,0,0,0,0,2,3,0,89,NA
1,53,1,12,1,2.66666666666667,6,0,NA,0,0,3,0,0,1.16666666666667,0,1.5,2,3,0,89,NA
1,18,1,12,1,0,6,0,NA,0,1,3,0,0,0,0,0,4,6,1,53,NA
1,18,1,12,1,0,6,0,NA,0,1,3,0,0,0,0,0,4,6,1,53,NA
1,53,1,12,1,0,4,0,1,0,1,1,0,0,0,0,0,4,6,1,53,750
1,42,1,12,1,0,2,0,1,0,1,1,0,0,0,0,0,3,9,1,42,600
0,20,1,13,1,0,6,0,1,0,1,3,0,0,0,0,0,3,9,1,42,200
0,59,1,24,1,0,5,0,1,0,1,1,0,0,0,0,0,5,18,0,59,2500
1,51,1,18,1,7.93333333333333,5,0,1,0,1,2,0,1.75,1.78333333333333,0,4.4,5,18,0,59,1300
0,21,1,15,1,3.83333333333333,6,0,NA,0,1,3,0,0,0.166666666666667,0,3.66666666666667,5,18,0,59,NA
1,16,1,11,1,30.6666666666667,6,0,NA,0,1,3,0,0.666666666666667,0,0,30,5,18,0,59,NA
1,45,1,12,1,0,2,1,1,0,1,1,0,0,0,0,0,4,9,1,45,850
0,19,1,15,1,0,6,0,1,0,1,3,0,0,0,0,0,4,9,1,45,1000
1,19,1,12,1,0,6,0,1,0,0,3,0,0,0,0,0,4,9,1,45,900
0,17,1,12,1,0,6,0,1,0,1,3,0,0,0,0,0,4,9,1,45,500
0,60,1,13,1,0,3,0,4,0,1,1,0,0,0,0,0,1,11,0,60,500
1,38,1,12,1,0,5,0,1,0,1,1,0,0,0,0,0,5,6,1,38,1200
