id,paper_id,page,text
1_1,1,1,frontera norte vol  num  julio diciembre de  pp  politicas de cuidado infantil en america latina analisis comparado de chile costa rica uruguay y mexicochildcare policies in latin america a comparative analysis of chile costa rica uruguay and mexicosilvia lopez estrada resumenlos gobiernos dan forma a los problemas sociales y las propuestas para resolverlos modelando asi sus intervenciones publicas con el fin de contribuir al debate sobre el cuidado infantil en america latina el objetivo del trabajo es comparar los diferentes marcos interpretativos de las politicas de cuidado infantil de chile costa rica uruguay y mexico a la luz del enfoque de analisis critico de marcos y a partir de los discursos de los actores sociales se examinan las so luciones que se ofrecen asi como la forma en que se interpreta el problema el trabajo se basa en el analisis de documentos oficiales como planes y programas y en algunos escritos academicos o producidos por organizaciones sociales asi como en la revision de la literatura especializad asobre el tema en la region latinoamericana palabras clave  politicas de cuidado infantil  marcos interpretativos  regimenes de cuidado  america latina  mexico abstractgovernments shape social problems discourses and the solutions to solve them in this context the main goal of this paper is the comparative analysis of childcare policies in the following countries chile costa rica uruguay and mexico in order to contribute to the debate about childcare in latin america in the light of the frame critical analysis the problem that each policy solves is analyzed and compared as well as its aims and solutions the study is based on governmental documents such as plans and programs as well as on academic and social organizations discourses and the literature about the topic in the latin american region keywords  childcare policies  childcare regimes  critical frame analysis  latin america  mexico recepcion  de septiembre de  aceptacion  de marzo de  el colegio de la frontera norte mexico slopez colef mx doi http dx doi org   rfn vi 
1_2,1,2,frontera norte vol  num  julio diciembre de introduccion los paises de america latina enfrentan la llamada crisis de los cuidados se trata en general de una crisis de reproduccion social producto de las transformaciones demograf icas tales como el aumento en los hogares encabezados por mujeres y de los unipersonales el envejecimiento de la poblacion asi como de la mayor presen cia de las mujeres en los mercados de trabajo aunque la situacion de cada pais es particular aguirre  distingue al gunas dif icultades comunes para contar con politicas integrales para las familias como las politicas de cuidado infantil entre las cuales senala la existencia de inter venciones dispersas y sin coordinacion la diversidad de instituciones que se hacen cargo de las politicas hacia las familias la falta de consenso en los enfoques que dirigen las politicas que se deriva en parte de las diferencias en las concepciones sobre familia igualdad y cuidados asi como la ausencia de diagnosticos que per mitan una adecuada comprension de la problematica a la luz del anterior panorama y tomando como referencia el enfoque de analisis critico de marcos el objetivo de este trabajo es analizar en forma comparada los marcos interpretativos de las politicas de cuidado infantil que han desarrollado chi le costa rica uruguay y mexico el texto se estructura en cuatro apartados el pri mero de los cuales introduce algunos conceptos centrales sobre el cuidado infantil y las politicas publicas el segundo apunta la metodologia del analisis critico de marcos el tercero examina las formas en que cada politica representa el cuidado infantil como problema publico asi como las soluciones que se proponen las voces presentes en los textos y las poblaciones a quienes se dirigen las politicas el cuarto apartado anali za en forma comparativa los marcos de las politicas de cuidado infantil a partir de sus similitudes diferencias y congruencias al f inal se apuntan algunas conclusiones el cuidado infantil en la agenda publicacomo tema central de la politica publica los cuidados entre los que se incluye el cuidado infantil constituyen un ambito con sus propios actores e institucio nes aguirre  se trata de un problema que concierne a la sociedad en su conjunto y como organizacion social se constituye por receptores y prestadores en la prestacion de servicios de cuidado participan distintos actores el estado las fa milias el mercado y las organizaciones de la sociedad civil segun la idea del diamante del bienestar evens pilj y ungerson  citados en aguirre  o el termino mas preciso de diamante de los cuidados de razavi  
1_3,1,3,lopez estrada politicas de cuidado infantil en america latinalos cuidados son actividades que comprenden la atencion fisica y social de las personas dependientes ninas os adultos mayores y personas discapacitadas y tam bien de las que no lo son en distintas etapas de la vida que demandan tiempo e involucran aspectos materiales y afectivos entre quien cuida y quien recibe cuidados los cuidados tienen una dimension material que implica un trabajo otra econo mica que conlleva un costo marco  p  y una mas afectiva y emocional que puede ser delegada en otras personas de la familia o ajenas a ella en forma remunerada o no dentro y fuera de la familia se trata por tanto de actividades relacionales que contribuyen a mantener y reproducir las relaciones familiares aguirre  batthyany  por su relacion con el ambito domestico y por ser llevado a cabo casi siempre por las mujeres el trabajo de cuidados ha sido menos valorado por lo que la me dicion de usos del tiempo ha contribuido a visibilizar y valorar la aportacion del trabajo de cuidados al bienestar social torns  desde una perspectiva de derechos pautassi  el trabajo de cuidados se considera como el derecho a ser cuidados a cuidar o a no cuidar ademas implica una corresponsabilidad entre el estado y la sociedad asi como entre los distintos integrantes de las familias a lo largo del ciclo de vida el cuidado infantil forma parte de los cuidados que a su vez se integran en el trabajo domestico es considerado como las actividades de cuidado material y afectivo crianza y socializacion dedicadas a los ninos y ninas principalmente por las madres u otras mujeres en este ultimo caso puede ser remunerado o no remu nerado bethhyany  esquivel f aur y jelin  en general en los paises latinoamericanos las politicas dirigidas hacia las mujeres y los ninos que en particular pertenecen a familias pobres han sido de corte familis ta y asistencial de caracter limitado y subsidiario montano  y con frecuencia asumen a las mujeres y a los ninos dentro de la familia dejando de lado sus intereses especificos lopez  en forma reciente han surgido nuevas conceptualizaciones que orientan las politicas sobre el cuidado infantil con frecuencia existe controversia sobre quienes tienen prioridad de derechos en el cuidado infantil guzman  distingue va rios enfoques sobre el cuidado infantil  el cuidado como una actividad que con tribuye a la insercion laboral de las mujeres  el cuidado como una practica que emplea a las mujeres y  el cuidado como un derecho de la ninez para alcanzar un desarrollo integral y cognitivo guzman  
1_4,1,4,frontera norte vol  num  julio diciembre de dado el peso que el cuidado infantil tiene en la carga global de trabajo de las mujeres y la discriminacion y la desigualdad que enfrentan en los mercados labo rales y otras esferas sociales una vision alternativa es considerar el cuidado infantil como parte del problema estructural de la injusta division sexual del trabajo asi mismo el marco del papel del estado como gestor de las politicas de cuidado infantil tambien debe ser tomado en cuenta un aspecto fundamental de los cuida dos en general y del cuidado infantil en particular es que para proveer a las personas de bienestar fisico y emocional se requiere de la gestion y generacion de recursos para la satisfaccion de sus necesidades asi como del mantenimiento cotidiano de la vida y la salud arriagada  desde una perspectiva normativa de la proteccion social los cuidados el infantil en este caso es un derecho asumido y prestado por medio de servicios que garanticen el bienestar de las y los ninos con la directa competencia del estado comision economica para america latina  p  esta def inicion enfatiza el papel del estado en la provision de bienes publi cos y supone la existencia de ciertas obligaciones entre quienes requieren ayuda y aquellos que la brindan para lograr este objetivo es fundamental avanzar en el reconocimiento e inclusion positiva del cuidado infantil en las politicas publicas como via para facilitar su insercion en la agenda publica cepal  p  metodologia de analisis critico de marcosuno de los mayores problemas en la construccion de politicas publicas tiene que ver con la def inicion de cual es el problema donde se localiza quien es respon sable cual debe ser la solucion la igualdad de genero diferencia o autonomia verloo  p  estos son debates que provienen de la teoria feminista pero que requieren desarrollo en la formulacion de las politicas publicas es necesario contar con un marco de analisis critico que permita entender las distintas interpretaciones de un problema publico como el de la igualdad o el problema de los cuidados estudiado en este trabajo y de esta forma analizar el rol que la transversalidad de genero juega en las distorsiones o el exito de esta estrate gia se asume que el signif icado de dichos problemas es el mismo para todos pero no es asi por ello se requiere de conceptos que permitan dar cuenta de esta diver sidad de signif icados ademas las diferencias en los marcos de interpretacion de un pro blema como el cuidado infantil estan relacionadas con el contexto politico y cultural asi como con las historias politico culturales y la ideologia 
1_5,1,5,lopez estrada politicas de cuidado infantil en america latinalos marcos interpretativos de las politicas son prismas que actuan como me canismos de seleccion que modif ican la naturaleza la audiencia y el sentido de los fenomenos percibidos para hacerlos objeto legitimo de la accion publica muller  un marco interpretativo es un esquema que estructura los signif icados de la realidad verloo propone el siguiente concepto un principio de organizacion que transforma informacion fragmentada o incidental en un problema estructu rado y significativo de politica publica en el cual incluye en forma implicita o explicita la solucion verloo  p  la autora explica que los marcos de politica no son descripciones de la realidad sino construcciones especif icas que dan signif icado a la realidad y le dan forma a la comprension de la misma se trata de un enfoque construccionista donde los discursos tienen impacto material e inmaterial el marco de politica tiene que ver con la reconstruccion y negociacion de la realidad politica y social de los actores a traves del uso de herramientas simbolicas metodologia cual es el problema a representar para analizar los marcos interpretativos de las politicas bacchi  desarrollo la metodologia what s the problem represented to be el pilar de este enfoque metodo logico cuyo objetivo es el analisis comparativo de los discursos consiste en respon der a preguntas sensibilizadoras una de las cuales tiene que ver con la def inicion de cual es el problema ademas de determinar otras cuestiones de quien es el problema cual debe ser la solucion quien es responsable de la solucion en relacion al tema que nos ocupa podemos peguntarnos tambien que es similar que es diferente en las formas de enmarcar el problema del cuidado infantil en resumen a partir de elementos discursivos se propone analizar y compa rar el diagnostico del problema como se def ine el problema el pronostico del problema cuales son las acciones que se proponen asi como los roles que se atribuyen a los actores y las voces presentes en los discursos verloo  p  bustelo y lombardo  la metodologia del analisis critico de marcos como ha sido empleada por el equipo que analiza las politicas de genero en la union europea busca entender los marcos interpretativos de la transversalidad de genero y se basa en los discursos of iciales que se expresan en los planes y programas de los gobiernos nacionales e internacionales asi como tambien se consideran documentos elaborados por grupos organizados de la sociedad civil 
1_6,1,6,frontera norte vol  num  julio diciembre de  en este caso se empleo la metodologia de marcos porque parece util para en tender las distintas visiones del problema del cuidado infantil en los paises latinoa mericanos y sus implicaciones para la formulacion de las politicas publicas para ello se tomo como base el analisis de documentos of iciales como planes programas y politicas ademas de documentos de diagnostico y propuestas de organismos de la sociedad civil siguiendo a bustelo y lombardo  p  se analizaron los textos con base a las preguntas guia a partir de lo cual se lleva a cabo el analisis comparativo de los marcos interpretativos del cuidado infantil los marcos interpretativos del cuidado infantilel diagnosticolas politicas para atender el problema del cuidado en los paises considerados tie nen distintos marcos interpretativos cuyos enfoques varian en funcion del enfasis en la insercion femenina en los mercados de trabajo el desarrollo integral de los ninos o la desigual division sexual del trabajo en el caso de chile chile crece contigo se inicia en  y tiene continuidad en el gobierno de michelle bachelet en  en el contexto de los procesos de democratizacion y con el f in de construir un sistema nacional de proteccion en  se convirtio en el subsistema de proteccion integral a la infancia  en el cual se identif ica como problema la relacion entre la pobreza de los grupos familiares y sus efectos negativos en el desarrollo posterior de las ninas y los ninos en par ticular de los menores de cuatro anos esta situacion es particular de las familias que viven en la pobreza ya que los hogares con ninos de los estratos mas pobres muestran alta vulnerabilidad y se enfatiza ademas la presencia predominante de los hogares pobres encabezados por mujeres ley num    se destaca tambien el marco de la insuf iciente cobertura de servicios publicos y privados de cuidado infantil otro marco presente es el la insercion femenina en los mercados de trabajo por lo que al parecer se asume que una mayor tasa de participacion economica esta asociada al incremento en la cobertura de los servicios de cuidado infantil y salas cuna como resultado del programa cepal  gobierno de chile  aunque destaca la baja participacion economica femenina no se  de acuerdo con la ley    este subsistema forma parte del sistema de protec cion social el cual tambien incluye el subsistema chile solidario 
1_7,1,7,lopez estrada politicas de cuidado infantil en america latinacuestiona el tiempo que invierten las mujeres en los cuidados ni la desigual divi sion sexual del trabajo en costa rica la politica publica de cuidado infantil se enmarca en las nece sidades de las familias en pobreza y en los efectos que esto tiene en el desarrollo integral de ninos y ninas grillo leon mora y torres  p  ademas aun que existen distintas modalidades de atencion guzman  la red nacional de cuido y desarrollo infantil red cudi considera como problema la escasa insuf iciente y costosa oferta de servicios de cuidado en el pais al que solo accede seis por ciento de la poblacion infantil pero que en los sectores pobres se incre menta a  por ciento grillo et al  se observa ademas que los centros de cuido se caracterizan por su estratif icacion y la red los considera servicios de caracter publico y mixto esta politica tambien asume el marco de implicaciones que el cuidado infantil tiene para las mujeres debido a que el tiempo que dedican a estas actividades afecta su participacion en los mercados de trabajo asi como el marco del papel del estado como empresa gestora de los servicios de cuidado infantil guzman  p  por su parte el sistema nacional de cuidados de uruguay es producto de un pacto democratico entre distintos actores sociales partidos politicos organismos civiles y a diferencia de los programas de chile y costa rica cuenta con un diagnostico integral que situa la necesidad de implementar una politica de cui dados en diferentes marcos por ejemplo destaca la diversidad familiar y el hecho de que los hogares mas pobes concentran la mitad de los ninos y ninas pequenos junta nacional de cuidados  ademas de este marco de pobreza tambien se encuadra el problema en la crisis de los cuidados las desigualdades de genero en el reparto de responsabilidades familiares ya que una de cada tres mujeres es cuidadora de ninos y alrededor de  por ciento del tiempo dedicado al trabajo no remunerado corresponde a las mujeres aguire y ferrari  tambien esta presente el marco del incremento de la participacion femenina en los mercados de trabajo y el envejecimiento de la poblacion el marco de la responsabilidad social del estado para apoyar a las familias en el cumplimiento de sus labores de crianza tambien es considerado en la politica junta nacional de cuidados  por ul  entre estas destacan los centros de nutricion y educacion cen y los centros infantiles de nutricion y atencion integral cinai centros de cuidado infantil municipales centros de organismos de bienestar social y hogares comunitarios guzman  ministerio de pla nif icacion nacional politica y economica  
1_8,1,8,frontera norte vol  num  julio diciembre de timo el problema se enmarca en dif icultades relativas a la calidad de los servicios de cuidado infantil que proveen el estado y el mercado cepal  salvador  aguirre y ferrari  junta nacional de cuidados   por su parte mexico no cuenta todavia con una politica integral de cuidado infantil como tal la provision de servicios publicos se caracteriza por un esquema diferenciado de cuidado infantil que se compone de nueve modelos  entre los cuales destacan por su mayor cobertura las guarderias del instituto mexicano del seguro social imss y el sistema nacional de guarderias y estancias infantiles de cre to por el que se crea el sistema nacional de guarderias y estancias infantiles  que tuvo su origen en el contexto de la alternancia democratica y que fue establecido como uno de los programas paradigmaticos de la administracion de felipe calde ron mientras que en el caso del imss prevalece el marco de facilitar la incorpora cion femenina al mercado de trabajo ya que se trata de una prestacion laboral las reglas de operacion del programa de estancias y guarderias infantiles secretaria de desarrollo social  tambien enmarcan como problema las dif icultades de las mujeres para participar en los mercados de trabajo ya que carecen de alternati vas viables de cuidado infantil que les permitan obtener y mantener un trabajo o dedicarse a estudiar asi mismo se destaca que la carencia de cuidado infantil afecta en particular a las mujeres mas pobres pues se trata de aquellas que trabajan en la informalidad o que estan buscando trabajo en el programa tambien se ad vierte el marco de la conciliacion entre la vida familiar y laboral y una vision de igualdad de genero al considerar no solo a las mujeres de menores recursos como sujetos de apoyo sino tambien a los padres varones que forman parte de hogares monoparentales  la oferta de servicios para ninos de  a  anos es en su mayoria privada en tanto que la oferta publica para este grupo infantil incluye el plan caif el cual data desde hace  anos los centros de educacion infantil ceip el programa nuestros ninos y el programa cuidados e inclusion socio educativa para la primera infancia junta nacional de cuidados  p  estos programas estan focalizados a las poblaciones de menores ingresos dentro de las politicas contra la pobreza  imss issste secretaria de educacion publica que cuenta con dos modelos centro de desarrollo infantil y direccion general de educacion indigena sistema nacional dif centro de asistencia infantil comunitaria y centro asistencial de desarrollo infantil secretaria de desarrollo social secretaria de la defensa nacional y secretaria de marina estos modelos de aten cion se adecuan a distintas realidades geograficas sociales y demograficas pero tienen como ele mento comun el bienestar infantil secretaria de gobernacion  
1_9,1,9,lopez estrada politicas de cuidado infantil en america latinasegun bacchi y eveline  los marcos de politica no son f ijos y evolucionan con el tiempo por lo tanto en  con la formulacion de la ley de prestacion de ser vicios de atencion infantil  que dio lugar al programa de prestacion de servi cios para la atencion cuidado y desarrollo integral  el gobierno mexicano emite un nuevo marco de politica para el cuidado infantil que destaca la diversidad familiar y se enfoca en los derechos de los ninos enfatizando el cuidado que requieren los ninos cuyas madres y padres trabajan asi como las condiciones en que operan los centros de atencion publicos y privados y que dio lugar a la formulacion de un diag nostico sobre el estado que guardan los centros publicos y privados segob  por ultimo aunque se destaca un marco integral para la atencion de los ninos y ninas en forma indirecta tambien se toman en cuenta las necesidades de madres y pa dres ley general de prestacion de servicios de atencion cuidado y desarrollo integral infantil  el pronostico objetivos explicitos de la politicapara responder al problema del desarrollo infantil sobre todo entre las familias mas pobres chile crece contigo tiene por objetivo central garantizar los derechos de los ninos a f in de igualar sus oportunidades de desarrollo desde su gestacion hasta el primer ciclo de ensenanza basica sin importar su origen social genero tipo de hogar u otro factor de desigualdad de esta forma prioriza la atencion al desarrollo integral de ninos y ninas menores de cuatro anos asi como la garantia de sus dere chos y ademas promueve la insercion laboral de las mujeres igualmente de ampliar la cobertura del servicio de cuidado infantil a traves de la creacion de salas cuna y la ampliacion del cupo en la red de jardines para padres y madres que trabajan y de contar con una red que articula servicios publicos y privados la estrategia considera servicios y prestaciones sociales para los ninos y sus familias y un sistema de apoyos monetarios a traves de subsidios para las familias en situacion de mayor vulnerabili dad incluso estas familias tienen un acceso preferente a toda la red de servicios y pres taciones del estado su implementacion esta basada en la construccion de redes de proteccion que favorecen la participacion familiar y articulan la oferta publica de bie nes y servicios ley num    biblioteca del congreso nacional de chi le  cepal  gobierno de chile  en costa rica la red nacional de cuido y desarrollo infantil se plantea la ex pansion de servicios de cuidado infantil con base en la creciente participacion eco nomica femenina las tensiones entre la familia y el trabajo y la necesidad de invertir en la infancia como forma de proteccion contra la pobreza y la desigualdad y asi 
1_10,1,10,frontera norte vol  num  julio diciembre de responder a las necesidades de las familias pobres donde ademas se destaca una vi sion orientada al desarrollo infantil en esta politica en la cual el estado actua como gestor hay un objetivo explicito orientado a la proteccion contra la desigualdad ya que en armonia con la politica nacional de igualdad el programa tambien pretende la corresponsabilidad social de los cuidados como estrategia para redistribuir las car gas recursos y oportunidades y asi modif icar la division sexual del trabajo asi mis mo el pronostico considera una perspectiva interseccional y la partici pacion de distintos actores sociales en red cepal  sojo  guzman  en uruguay el sistema nacional de cuidados forma parte de la politica social del poder ejecutivo y como tal la estrategia pretende impactar la redistribucion del ingreso y la equidad entre los generos y las generaciones desde una perspectiva de derechos sus objetivos son  socializar los costos asociados a las tareas de cuida do y generar servicios publicos o estimular y o regular la oferta privada  va lorar las tareas de cuidado y promover la corresponsabilidad entre las familias y el estado asi como entre mujeres y hombres dentro del hogar y  ampliar la cobertura de los servicios de cuidado cepal  salvador  se trata de una politica basada en una concepcion integral de los cuidados como derecho a traves de un modelo solidario que involucra un pacto de corresponsabilidad entre generos y generaciones y que ademas tiene un caracter universal asi mismo considera una nueva organizacion del cuidado infantil que toma en cuenta tanto a los receptores como a los prestadores y destaca el papel del estado como gestor y la necesidad de socializar los costos jnc  en mexico el programa de guarderias y estancias infantiles de la secretaria de desarrollo social sedesol opera en zonas urbanas semiurbanas y rurales y su objetivo es facilitar a madres y padres trabajadores en situacion de pobreza con ni nos y ninas de entre  y  anos y sin acceso a servicios de cuidado infantil el acceso y permanencia en el mercado laboral a traves del incremento en el numero de espacios para el cuidado y la atencion infantil este programa no esta orientado a la promocion del desarrollo infantil en todo caso su f in ultimo es combatir la pobreza a traves de facilitar la participacion de las mujeres a la fuerza de trabajo y de esa manera fortalecer sus capacidades para proveer de ingresos a sus hogares y con ello aliviar la pobreza por su parte el programa nacional de prestacion de servicios de atencion cuidado y desarrollo integral infantil pnpsacdii tiene como objetivo salvaguardar la integridad de los menores a traves de una red nacional que integre los distintos modelos de cuidado infantil existentes la ampliacion de la cobertura y el impulso a un modelo de desarrollo comunitario ademas de normar la proteccion 
